DEPARTMENT,CATEGORY,SUBCATEGORY,SUBSUBCATEGORY,GENDER,SKU,SKU_VARIANT,PRODUCT_NAME,PRICE_RETAIL,PRICE_CURRENT,PRICE_RETAIL_RAW,PRICE_LABEL,PRICE_CURRENT_RAW,BRAND,PROMOTION,URL,SOURCE_URL,BREADCRUMBS,SORT_BY_RANKING,SCAN_DATE,TID
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,GS122O0A8-A11,,BASE HEATHER 2-PACK - T-Shirt basic - white solid,34.95,34.95,"34,95?€",,"34,95?€",G-Star,,https://www.zalando.de/herren/?q=GS122O0A8-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,46,2023/1/29 1:31,24425943
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,TOB22O01C-Q11,,ORIGINAL REGULAR FIT - T-Shirt basic - black,24.95,24.95,"24,95?€",ab,"24,95?€",Tommy Jeans,,https://www.zalando.de/herren/?q=TOB22O01C-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,47,2023/1/29 1:31,24425944
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,LE222O056-Q11,,SLIM CREWNECK 2 PACK - T-Shirt basic - black,39.95,27.95,"39,95?€",,"27,95?€",Levi's?,,https://www.zalando.de/herren/?q=LE222O056-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,48,2023/1/29 1:31,24425945
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,0TA22O02G-Q11,,T-Shirt basic - schwarz,24.9,11.9,"24,90?€",,"11,90?€",Tazzio,,https://www.zalando.de/herren/?q=0TA22O02G-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,49,2023/1/29 1:31,24425946
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,E2C22O011-A11,,DISCREET TEE - T-Shirt basic - white,44.9,44.9,"44,90?€",,"44,90?€",ESTEEM,,https://www.zalando.de/herren/?q=E2C22O011-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,50,2023/1/29 1:31,24425947
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,BB122O0O8-Q11,,TEGOOD - T-Shirt basic - black,39.95,27.95,"39,95?€",,"27,95?€",BOSS,,https://www.zalando.de/herren/?q=BB122O0O8-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,51,2023/1/29 1:31,24425948
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,TOB22O018-Q11,,ORIGINAL TEE REGULAR FIT - T-Shirt basic - black,24.95,21.95,"24,95?€",ab,"21,95?€",Tommy Jeans,,https://www.zalando.de/herren/?q=TOB22O018-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,52,2023/1/29 1:31,24425949
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,NI122O0CE-G12,,CLUB TEE - T-Shirt basic - university red/white,19.95,17,"19,95?€",ab,"17,00?€",Nike Sportswear,,https://www.zalando.de/herren/?q=NI122O0CE-G12,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,53,2023/1/29 1:31,24425950
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,YAB22D000-K11,,5 PACK - T-Shirt basic - blue dark sapphire,79.95,19.99,"79,95?€",,"19,99?€",yazubi,,https://www.zalando.de/herren/?q=YAB22D000-K11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,54,2023/1/29 1:31,24425951
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,ZZLM9D029-Q11,,T-Shirt basic - black,19.99,19.99,"19,99?€",,"19,99?€",Urban Classics,,https://www.zalando.de/herren/?q=ZZLM9D029-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,55,2023/1/29 1:31,24425952
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,LE222O05G-A11,,SLIM CREWNECK 2 PACK - T-Shirt basic - white/white,39.95,31.95,"39,95?€",ab,"31,95?€",Levi's?,,https://www.zalando.de/herren/?q=LE222O05G-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,56,2023/1/29 1:31,24425953
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,UN242D0CL-Q11,,TECH TEE - T-Shirt basic - black/graphite,27.95,27.95,"27,95?€",ab,"27,95?€",Under Armour,,https://www.zalando.de/herren/?q=UN242D0CL-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,57,2023/1/29 1:31,24425954
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,UR622O03J-Q11,,TALL TEE - T-Shirt basic - black,14.99,14.99,"14,99?€",ab,"14,99?€",Urban Classics,,https://www.zalando.de/herren/?q=UR622O03J-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,58,2023/1/29 1:31,24425955
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,PI922O0GY-A11,,5 PACK - T-Shirt basic - white,34.99,34.99,"34,99?€",,"34,99?€",Pier One,,https://www.zalando.de/herren/?q=PI922O0GY-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,59,2023/1/29 1:31,24425956
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,PI922O0GY-Q11,,5 PACK - T-Shirt basic - black,34.99,34.99,"34,99?€",,"34,99?€",Pier One,,https://www.zalando.de/herren/?q=PI922O0GY-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,60,2023/1/29 1:31,24425957
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,WEB22O05A-Q11,,GREAT - T-Shirt basic - black,25,25,"25,00?€",,"25,00?€",Weekday,,https://www.zalando.de/herren/?q=WEB22O05A-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,61,2023/1/29 1:31,24425958
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,S1X22O04I-Q12,,MTVIC - T-Shirt basic - dunkelgrau,29.99,19.99,"29,99?€",ab,"19,99?€",SOULSTAR,,https://www.zalando.de/herren/?q=S1X22O04I-Q12,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,62,2023/1/29 1:31,24425959
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,CZ522O06S-O11,,BRO - T-Shirt basic - brown,39.95,29.95,"39,95?€",,"29,95?€",CHASIN',,https://www.zalando.de/herren/?q=CZ522O06S-O11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,63,2023/1/29 1:31,24425960
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,C182101V6-Q11,,MICRO MONOLOGO TEE - T-Shirt basic - black,39.95,31.95,"39,95?€",,"31,95?€",Calvin Klein Jeans,,https://www.zalando.de/herren/?q=C182101V6-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,64,2023/1/29 1:31,24425961
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,JA222D1QN-A12,,JJENOA SS CREW NECK NOOS - T-Shirt basic - moonbeam,17.99,12.59,"17,99?€",,"12,59?€",Jack & Jones,,https://www.zalando.de/herren/?q=JA222D1QN-A12,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,65,2023/1/29 1:31,24425962
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,AD122O0TN-K11,,TRACE TEE - T-Shirt basic - almost blue,37.95,37.95,"37,95?€",,"37,95?€",adidas Originals,,https://www.zalando.de/herren/?q=AD122O0TN-K11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,66,2023/1/29 1:31,24425963
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,TOB210040-Q11,,BADGE TEE - T-Shirt basic - black,44.95,31.65,"44,95?€",,"31,65?€",Tommy Jeans,,https://www.zalando.de/herren/?q=TOB210040-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,67,2023/1/29 1:31,24425964
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,S1X22O04H-A11,,T SHIRT NOAM - T-Shirt basic - wei?,29.99,19.99,"29,99?€",ab,"19,99?€",SOULSTAR,,https://www.zalando.de/herren/?q=S1X22O04H-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,68,2023/1/29 1:31,24425965
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,WEB22O055-A11,,RELAXED - T-Shirt basic - white,19,13.35,"19,00?€",,"13,35?€",Weekday,,https://www.zalando.de/herren/?q=WEB22O055-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,69,2023/1/29 1:31,24425966
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,NI122O0CE-Q11,,CLUB TEE - T-Shirt basic - black/white,24.95,24.95,"24,95?€",,"24,95?€",Nike Sportswear,,https://www.zalando.de/herren/?q=NI122O0CE-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,70,2023/1/29 1:31,24425967
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,BOX22O00F-O11,,TOM - T-Shirt basic - brown,24.9,11.9,"24,90?€",,"11,90?€",BONDELID,,https://www.zalando.de/herren/?q=BOX22O00F-O11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,71,2023/1/29 1:31,24425968
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,DEO22O00U-A11,,3 PACK - T-Shirt basic - white,29.95,29.95,"29,95?€",,"29,95?€",Denim Project,,https://www.zalando.de/herren/?q=DEO22O00U-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,72,2023/1/29 1:31,24425969
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,MA322O03J-C12,,C-NECK - T-Shirt basic - gray pinstripe,19.95,19.95,"19,95?€",,"19,95?€",Marc O'Polo,,https://www.zalando.de/herren/?q=MA322O03J-C12,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,73,2023/1/29 1:31,24425970
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,MA322O0EE-M11,,SHORT SLEEVE LOGO - T-Shirt basic - mangrove,29.95,20.95,"29,95?€",,"20,95?€",Marc O'Polo,,https://www.zalando.de/herren/?q=MA322O0EE-M11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,74,2023/1/29 1:31,24425971
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,AL522O017-C12,,BASIC SMALL LOGO - T-Shirt basic - grey,22.95,22.95,"22,95?€",,"22,95?€",Alpha Industries,,https://www.zalando.de/herren/?q=AL522O017-C12,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,75,2023/1/29 1:31,24425972
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,NI122O0CE-K12,,CLUB TEE - T-Shirt basic - midnight navy/white,24.95,24.95,"24,95?€",,"24,95?€",Nike Sportswear,,https://www.zalando.de/herren/?q=NI122O0CE-K12,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,76,2023/1/29 1:31,24425973
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,S1X22O04H-Q12,,T SHIRT NOAM - T-Shirt basic - dunkelgrau,29.99,19.99,"29,99?€",ab,"19,99?€",SOULSTAR,,https://www.zalando.de/herren/?q=S1X22O04H-Q12,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,77,2023/1/29 1:31,24425974
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,VA222O03F-K12,,LEFT CHEST LOGO TEE - T-Shirt basic - navy/white,24,21.6,"24,00?€",,"21,60?€",Vans,,https://www.zalando.de/herren/?q=VA222O03F-K12,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,78,2023/1/29 1:31,24425975
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,JA222O37Z-C11,,3 PACK  - T-Shirt basic - grey,38.85,36.95,"38,85?€",,"36,95?€",Jack & Jones,,https://www.zalando.de/herren/?q=JA222O37Z-C11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,79,2023/1/29 1:31,24425976
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,C5122O002-A11,,2ER-SET - T-Shirt basic - white,29.99,29.99,"29,99?€",,"29,99?€",camano,,https://www.zalando.de/herren/?q=C5122O002-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,80,2023/1/29 1:31,24425977
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,H0422O03P-C11,,CREW 3 PACK - T-Shirt basic - navy/burgundy/grey,34.95,34.95,"34,95?€",,"34,95?€",Hollister Co.,,https://www.zalando.de/herren/?q=H0422O03P-C11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,81,2023/1/29 1:31,24425978
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,H0422O02T-A15,,CREW CHAIN 3 PACK - T-Shirt basic - white,34.95,34.95,"34,95?€",,"34,95?€",Hollister Co.,,https://www.zalando.de/herren/?q=H0422O02T-A15,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,82,2023/1/29 1:31,24425979
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,NI122O0CE-N16,,CLUB TEE - T-Shirt basic - oil green,24.95,24.95,"24,95?€",,"24,95?€",Nike Sportswear,,https://www.zalando.de/herren/?q=NI122O0CE-N16,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,83,2023/1/29 1:31,24425980
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,PEP210025-Q11,,LOGO TEE UNISEX - T-Shirt basic - black,29.95,29.95,"29,95?€",,"29,95?€",Pegador,,https://www.zalando.de/herren/?q=PEP210025-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,84,2023/1/29 1:31,24425981
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,NI122O0WS-C11,,CLUB TEE - T-Shirt basic - wolf grey,34.95,16.95,"34,95?€",,"16,95?€",Nike Sportswear,,https://www.zalando.de/herren/?q=NI122O0WS-C11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,85,2023/1/29 1:31,24425982
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,PI922O0KD-A11,,T-Shirt basic - white,9.99,9.99,"9,99?€",,"9,99?€",Pier One,,https://www.zalando.de/herren/?q=PI922O0KD-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,86,2023/1/29 1:31,24425983
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,SC322O0JK-G11,,LOGO TEE - T-Shirt basic - nomade red,29.95,14.95,"29,95?€",,"14,95?€",Scotch & Soda,,https://www.zalando.de/herren/?q=SC322O0JK-G11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,87,2023/1/29 1:31,24425984
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,TOB22O09I-K11,,T-Shirt basic - twilight navy,34.95,29.85,"34,95?€",ab,"29,85?€",Tommy Jeans,,https://www.zalando.de/herren/?q=TOB22O09I-K11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,88,2023/1/29 1:31,24425985
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,YO12100ME-A11,,BIRDIE - T-Shirt basic - white/off-white/green,27.99,27.99,"27,99?€",,"27,99?€",YOURTURN,,https://www.zalando.de/herren/?q=YO12100ME-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,89,2023/1/29 1:31,24425986
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,TOB210040-A11,,BADGE TEE - T-Shirt basic - white,44.95,31.65,"44,95?€",,"31,65?€",Tommy Jeans,,https://www.zalando.de/herren/?q=TOB210040-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,90,2023/1/29 1:31,24425987
